Date,Open,High,Low,Close,Volume,Adj Close
2011-06-17,8671.45,8702.00,8618.85,8636.10,2252000,8636.10
2011-06-16,8739.84,8739.84,8654.43,8654.43,2089000,8654.43
2011-06-15,8833.86,8876.14,8733.60,8831.45,2652000,8831.45
2011-06-14,8737.24,8836.51,8737.24,8829.21,1685800,8829.21
2011-06-13,8791.67,8811.97,8703.52,8712.95,1959600,8712.95
2011-06-10,9042.35,9053.39,8837.82,8837.82,2192800,8837.82
2011-06-09,9020.60,9045.44,8996.08,9000.94,1718400,9000.94
2011-06-08,9044.85,9070.25,9007.53,9007.53,1884200,9007.53
2011-06-07,9025.21,9059.19,8981.44,9057.10,1770400,9057.10
2011-06-03,9024.54,9052.18,8997.35,9046.28,1890800,9046.28
2011-06-02,8981.71,9036.27,8977.67,8991.36,2220600,8991.36
2011-06-01,8999.84,9089.47,8999.84,9062.35,2648800,9062.35
2011-05-31,8860.58,9003.60,8860.58,8988.84,2901000,8988.84
2011-05-30,8757.66,8844.03,8748.13,8823.68,1871400,8823.68
2011-05-27,8806.29,8860.03,8803.59,8810.00,2083800,8810.00
2011-05-26,8797.29,8807.08,8751.52,8788.40,1908000,8788.40
2011-05-25,8732.30,8763.64,8682.49,8727.09,2107400,8727.09
2011-05-24,8730.23,8756.90,8673.38,8756.61,2153400,8756.61
2011-05-23,8767.30,8776.46,8695.34,8747.51,2123800,8747.51
2011-05-20,8944.38,8944.38,8822.75,8837.03,2277600,8837.03
2011-05-19,8952.25,9026.18,8888.21,8892.88,2573200,8892.88
2011-05-18,8885.40,8946.99,8885.40,8944.84,2060600,8944.84
2011-05-17,8917.25,8928.99,8854.14,8884.09,2180000,8884.09
2011-05-16,8996.70,8996.70,8911.71,8911.71,1993800,8911.71
2011-05-13,9039.55,9059.46,8986.18,9006.61,2471800,9006.61
2011-05-12,8977.77,9052.98,8963.24,9033.68,2339800,9033.68
2011-05-11,9073.88,9082.01,9014.36,9020.40,2358800,9020.40
2011-05-10,9048.25,9055.91,9007.93,9023.28,2172800,9023.28
2011-05-09,9001.80,9081.26,8984.43,9035.48,2852600,9035.48
2011-05-06,8997.73,9018.40,8954.81,8977.23,2796600,8977.23
2011-05-05,8930.24,9029.58,8907.97,9018.61,2702600,9018.61
2011-05-04,8937.30,8947.35,8864.55,8947.35,2336800,8947.35
2011-05-03,9014.33,9018.70,8895.25,8946.08,2675400,8946.08
2011-04-29,9050.49,9058.78,8943.99,9007.87,3385400,9007.87
2011-04-28,9088.97,9099.75,9021.36,9040.77,3087000,9040.77
2011-04-27,9012.28,9060.50,9012.28,9049.25,3110000,9049.25
2011-04-26,8894.01,8966.86,8866.74,8948.14,2392200,8948.14
2011-04-25,9015.91,9037.09,8950.75,8950.75,2696800,8950.75
2011-04-22,8980.43,8992.67,8956.07,8969.43,2776600,8969.43
2011-04-21,8893.07,8992.08,8892.06,8957.65,3689400,8957.65
2011-04-20,8704.48,8813.28,8698.97,8813.28,2643200,8813.28
